Client;Phase
Scotchlint;3
ScottsMenswear-EN_GB;3
Seagate;3
SearsCanada;3
Shoes;3
ShopNBC;3
Simple;2
Size-EN_GB;3
SKII;3
Skinceuticals;3
Skullcandy;3
SonyAP-AU;2
SpaceCoastCreditUnion;2
Sterilite;2
StIves;3
Storage;3
StyleUnited;3
SunPower;1
SwannSecurity;1
SweetbaySupermarket;2
Targus;3
Tassimo;3
Teachco;3
Tekk;3
TelusMobility;3
Terrysvillage;3
Tesco;3
TetraFish;3
TheSportshq-ES;3
TheSportshq-FR;3
TheSportshq-IT;3
Thingsremembered;1
ThomasCook;2
Tide;3
TotesIsotoner;3
Tresemme;3
TrippLite;2
Tums;3
TurboTax09;3
UbyKotex;1
UMB;3
UnderArmour;3
Uniden;1
VegasCom;2
VirginWines;3
Visine;3
VocalPoint;2
Vodafone-UK;3
Steamfast;3
Vornado;3
WagnerSprayTech;2
Walgreens;3
WalMartCanada;3
WilliamsSonoma;3
Wilson;3
WilsonElectronics;3
Windex;1
WindowsPhone;2
ZumbaFitness;3
Futuro;3
PostItmx;3
PruvenPetProducts;3
Littmann;3
ESPE;3
ScotchBrite-ID_ID;3
Commandstrips-EN_GB;3
PostIt-ES_CL;3
SkinAndWound-EN_GB;3
ATCross;3
Kaplanco;3
Greenies;3
VeterinaryPetInsurance;2
PacificCoast;3
SealyBedding;3
Pemco;3
FreeFest;1
Boost;1
Koodomobile;3
Pillsbury;2
SherwinWilliams;3
TractorSupply;3
TrueValue;3
StartRightStartHere;2
AMEXMyTrueEarnings;3
Amextravel;2
Saga-EN;3
MiniBarratts;3
NineteenTwentyOne;3
PetitFeet;3
PricelessShoes;3
BigShoeBoutique;3
Dyson-EN_AU;3
Nationalbusinessfurniture;3
DallasMidwest;2
LloydsPharmacy;3
MamasAndPapas;3
Matalan;3
Musto;3
NationalAustraliaBank;3
UBank;3
Optus;3
OptusBuiltForBusiness;3
SpaceNK-EN;3
EveLom-EN;2
Waterstones;3
KitCosmetics;3
Smiggle-AU;3
TVSN;3
Marksandspencer;3
AllyBank;3
TravelSmith;3
TerritoryAhead;3
BallardDesigns;3
SmithNoble;3
Darty-ES;3
BCC-NL;3
Abreva;2
BreatheRight;3
JnJVisionCare;3
Adidas;3
Adidas-EN_BE;2
Adidas-DE_AT;2
Reebok;3
AdamsGolf;3
Adidas-NL;2
Adidas-EN_GB;3
Adidas-IT;2
Adidas-FR_FR;2
Adidas-ES;2
Adidas-DE_DE;2
Adidas-PT_BR;2
Adidas-RU_RU;2
Adidas-EN_SE;2
Adidas-EN_DK;2
Clairol-EN_CA;3
DDFSkincare;3
Febreze;3
Puffs;3
Bounty;3
Duracell;3
Duracell-RU_RU;2
Duracell-EN_CA;2
Duracell-PT_BR;2
Align;3
Tampax;3
Vicks;3
PrilosecOTC;3
Tide-FR_CA;3
Tide-EN_CA;3
Crest3DWhiteCanada;3
Crest3DWhiteCanadaFR;3
OralB;3
OralB-PT_BR;2
Downy;3
Metamucil;3
Always;3
Always-ES_MX;2
Always-PT_BR;2
PampersLA;2
PampersBrazil;2
Pampers-EN_CA;2
Pampers-FR_CA;2
Pampers-ES;2
Pampers-HU_HU;2
Pampers-PL_PL;2
Pampers-ZH_CN;2
Cascade;3
TAOS;3
Bounce;3
CoverGirl-FR_CA;3
Dawn;3
Koleston-ES_MX;2
Koleston-PT_BR;2
ZzzQuil;2
Bounce-EN_CA;2
Aussie;1
Aussie-EN_GB;2
HeadShoulders-PT_BR;2
HeadAndShouldersPoland;2
Braun-EN_US;2
ChinaLivingArtist-ZH_CN;2
Ariel-PT_BR;2
Pantene-RU_RU;2
PanteneLA;2
ITGC-SV_SE;2
ExtraordinaryDogs;3
ExtraordinaryDogs-DE_DE;3
ExtraordinaryDogs-EN_AU;3
ExtraordinaryDogs-IT_IT;3
ExtraordinaryDogs-ES_ES;3
ExtraordinaryDogs-NL_NL;3
ExtraordinaryDogs-NL_BE;3
ExtraordinaryDogs-PT_PT;3
Proximaati-ES;2
Zininmeer-NL;2
